Timestamp,Gesture,Confidence,Action,Slide Number
2026-06-22 20:36:03,LIKE,79.08%,Started,1
2026-06-22 20:36:25,FIST,93.12%,Prev Slide,1
2026-06-22 20:36:29,FIST,76.41%,Prev Slide,1
2026-06-22 20:36:35,FIST,71.07%,Prev Slide,1
2026-06-22 20:36:39,FIST,72.80%,Prev Slide,1
2026-06-22 20:36:43,FIST,89.15%,Prev Slide,1
2026-06-22 20:36:46,LIKE,82.79%,Next Slide,2
2026-06-22 20:36:47,LIKE,84.45%,Next Slide,3
2026-06-22 20:36:49,LIKE,80.60%,Next Slide,4
2026-06-22 20:36:54,LIKE,74.75%,Next Slide,5
2026-06-22 20:37:10,FIST,78.63%,Prev Slide,4
2026-06-22 20:37:19,STOP,83.26%,Paused,4
2026-06-22 20:37:26,LIKE,71.45%,Next Slide,5
2026-06-22 20:37:28,LIKE,77.18%,Next Slide,6
2026-06-22 20:37:36,FIST,74.93%,Prev Slide,5
2026-06-22 20:37:39,FIST,72.11%,Prev Slide,4
2026-06-22 20:37:45,FIST,76.69%,Prev Slide,3
2026-06-22 20:37:48,FIST,80.95%,Prev Slide,2
2026-06-22 20:37:54,FIST,70.83%,Prev Slide,1
2026-06-22 20:37:56,FIST,71.07%,Prev Slide,1
2026-06-22 20:37:57,FIST,73.16%,Prev Slide,1
2026-06-22 20:38:01,LIKE,73.45%,Next Slide,2
2026-06-22 20:38:03,LIKE,73.87%,Next Slide,3
2026-06-22 20:38:04,LIKE,91.52%,Next Slide,4
2026-06-22 20:38:06,LIKE,94.75%,Next Slide,5
2026-06-22 20:38:09,LIKE,78.17%,Next Slide,6
2026-06-22 20:38:14,LIKE,83.81%,Next Slide,7
2026-06-22 20:38:20,LIKE,74.46%,Next Slide,8
2026-06-22 20:38:24,FIST,74.02%,Prev Slide,7
2026-06-22 20:38:28,FIST,82.12%,Prev Slide,6
2026-06-22 20:38:31,FIST,73.26%,Prev Slide,5
2026-06-22 20:38:33,FIST,78.78%,Prev Slide,4
2026-06-22 20:38:36,FIST,75.98%,Prev Slide,3
2026-06-22 20:38:38,PEACE,81.43%,Stopped,3
2026-06-22 20:38:40,LIKE,77.58%,Started,3
2026-06-22 20:38:45,LIKE,84.41%,Next Slide,4
2026-06-22 20:38:53,PEACE,89.98%,Stopped,4
2026-06-22 20:39:02,LIKE,79.77%,Started,4
2026-06-22 20:39:06,LIKE,73.44%,Next Slide,5
2026-06-22 20:39:17,LIKE,88.20%,Next Slide,6
2026-06-22 20:39:20,LIKE,91.52%,Next Slide,7
2026-06-22 20:39:23,LIKE,87.21%,Next Slide,8
2026-06-22 20:39:25,FIST,89.54%,Prev Slide,7
2026-06-22 20:39:28,FIST,89.30%,Prev Slide,6
2026-06-22 20:39:30,FIST,92.89%,Prev Slide,5
2026-06-22 20:39:36,PEACE,71.33%,Stopped,5
2026-06-22 20:39:39,LIKE,71.40%,Started,5
2026-06-22 20:39:44,LIKE,71.30%,Next Slide,6
2026-06-22 20:39:51,LIKE,79.34%,Next Slide,7
2026-06-22 20:39:55,FIST,87.27%,Prev Slide,6
2026-06-22 20:39:58,PEACE,90.56%,Stopped,6
2026-06-22 20:40:12,LIKE,73.11%,Started,6
2026-06-22 20:40:16,LIKE,74.65%,Next Slide,7
2026-06-22 20:40:19,LIKE,84.79%,Next Slide,8
2026-06-22 20:40:22,PEACE,94.06%,Stopped,8
2026-06-22 20:40:29,STOP,76.48%,Paused,8
2026-06-22 20:40:35,STOP,81.13%,Paused,8
2026-06-22 20:40:48,LIKE,94.52%,Started,8
2026-06-22 20:40:50,PEACE,97.71%,Stopped,8
2026-06-22 20:40:56,LIKE,73.24%,Started,8
2026-06-22 20:40:58,LIKE,72.78%,Next Slide,9
2026-06-22 20:41:00,LIKE,78.55%,Next Slide,10
2026-06-22 20:41:03,LIKE,86.00%,Next Slide,10
2026-06-22 20:41:05,FIST,93.94%,Prev Slide,9
2026-06-22 20:41:07,FIST,93.30%,Prev Slide,8
2026-06-22 20:41:09,FIST,84.97%,Prev Slide,7
2026-06-22 20:41:20,FIST,74.49%,Prev Slide,6
2026-06-22 20:41:27,PEACE,77.46%,Stopped,6
